,timestamp,student_id,activity_type,duration_minutes,day_of_week
0,2025-06-01 19:07:00,S0167,yoga,69,Sunday
1,2025-06-01 19:57:00,S0104,swimming,85,Sunday
2,2025-06-01 17:50:00,S0142,elliptical,80,Sunday
3,2025-06-01 12:11:00,S0060,treadmill,78,Sunday
4,2025-06-01 09:27:00,S0173,yoga,61,Sunday
5,2025-06-01 19:49:00,S0179,swimming,47,Sunday
6,2025-06-01 18:49:00,S0056,yoga,38,Sunday
7,2025-06-01 17:49:00,S0194,swimming,30,Sunday
8,2025-06-01 18:09:00,S0299,yoga,59,Sunday
9,2025-06-01 19:21:00,S0295,swimming,68,Sunday
10,2025-06-01 06:52:00,S0239,elliptical,31,Sunday
11,2025-06-01 17:11:00,S0035,yoga,44,Sunday
12,2025-06-01 19:31:00,S0216,swimming,43,Sunday
13,2025-06-01 19:49:00,S0117,elliptical,39,Sunday
14,2025-06-01 08:01:00,S0041,swimming,51,Sunday
15,2025-06-01 18:39:00,S0085,swimming,23,Sunday
16,2025-06-01 19:09:00,S0079,yoga,24,Sunday
17,2025-06-01 19:48:00,S0210,weights,39,Sunday
18,2025-06-01 19:13:00,S0036,yoga,50,Sunday
19,2025-06-01 08:02:00,S0258,swimming,71,Sunday
20,2025-06-01 17:48:00,S0265,weights,41,Sunday
21,2025-06-01 17:15:00,S0194,elliptical,72,Sunday
22,2025-06-01 18:20:00,S0116,swimming,33,Sunday
23,2025-06-01 09:40:00,S0070,weights,31,Sunday
24,2025-06-01 16:28:00,S0174,elliptical,45,Sunday
25,2025-06-01 17:56:00,S0100,weights,45,Sunday
26,2025-06-01 18:29:00,S0062,treadmill,20,Sunday
27,2025-06-01 12:29:00,S0131,treadmill,82,Sunday
28,2025-06-01 17:10:00,S0042,weights,47,Sunday
29,2025-06-01 07:54:00,S0280,weights,80,Sunday
30,2025-06-01 07:36:00,S0226,swimming,41,Sunday
31,2025-06-01 17:24:00,S0133,elliptical,30,Sunday
32,2025-06-01 09:28:00,S0066,swimming,81,Sunday
33,2025-06-01 18:23:00,S0083,yoga,25,Sunday
