timestamp,student_id,activity_type,duration_minutes,day_of_week
2025-06-01 19:07:00,S0167,yoga,69,Sunday
2025-06-01 19:57:00,S0104,swimming,85,Sunday
2025-06-01 17:50:00,S0142,elliptical,80,Sunday
2025-06-01 12:11:00,S0060,treadmill,78,Sunday
2025-06-01 09:27:00,S0173,yoga,61,Sunday
2025-06-01 19:49:00,S0179,swimming,47,Sunday
2025-06-01 18:49:00,S0056,yoga,38,Sunday
2025-06-01 17:49:00,S0194,swimming,30,Sunday
2025-06-01 18:09:00,S0299,yoga,59,Sunday
2025-06-01 19:21:00,S0295,swimming,68,Sunday
2025-06-01 06:52:00,S0239,elliptical,31,Sunday
2025-06-01 17:11:00,S0035,yoga,44,Sunday
2025-06-01 19:31:00,S0216,swimming,43,Sunday
2025-06-01 19:49:00,S0117,elliptical,39,Sunday
2025-06-01 08:01:00,S0041,swimming,51,Sunday
2025-06-01 18:39:00,S0085,swimming,23,Sunday
2025-06-01 19:09:00,S0079,yoga,24,Sunday
2025-06-01 19:48:00,S0210,weights,39,Sunday
2025-06-01 19:13:00,S0036,yoga,50,Sunday
2025-06-01 08:02:00,S0258,swimming,71,Sunday
2025-06-01 17:48:00,S0265,weights,41,Sunday
2025-06-01 17:15:00,S0194,elliptical,72,Sunday
2025-06-01 18:20:00,S0116,swimming,33,Sunday
2025-06-01 09:40:00,S0070,weights,31,Sunday
2025-06-01 16:28:00,S0174,elliptical,45,Sunday
2025-06-01 17:56:00,S0100,weights,45,Sunday
2025-06-01 18:29:00,S0062,treadmill,20,Sunday
2025-06-01 12:29:00,S0131,treadmill,82,Sunday
2025-06-01 17:10:00,S0042,weights,47,Sunday
2025-06-01 07:54:00,S0280,weights,80,Sunday
2025-06-01 07:36:00,S0226,swimming,41,Sunday
2025-06-01 17:24:00,S0133,elliptical,30,Sunday
2025-06-01 09:28:00,S0066,swimming,81,Sunday
2025-06-01 18:23:00,S0083,yoga,25,Sunday
2025-06-01 09:27:00,S0292,elliptical,63,Sunday
2025-06-01 07:22:00,S0299,swimming,54,Sunday
2025-06-01 19:11:00,S0094,swimming,90,Sunday
2025-06-01 07:21:00,S0189,weights,37,Sunday
2025-06-01 19:17:00,S0066,weights,48,Sunday
2025-06-01 08:03:00,S0207,weights,26,Sunday
2025-06-01 18:51:00,S0257,yoga,51,Sunday
2025-06-01 09:38:00,S0186,yoga,57,Sunday
2025-06-01 19:33:00,S0186,yoga,86,Sunday
2025-06-01 17:39:00,S0245,yoga,31,Sunday
2025-06-01 17:14:00,S0061,swimming,61,Sunday
2025-06-01 08:01:00,S0007,elliptical,82,Sunday
2025-06-01 16:15:00,S0059,swimming,74,Sunday
2025-06-01 19:04:00,S0102,elliptical,70,Sunday
2025-06-01 12:39:00,S0105,weights,78,Sunday
2025-06-01 18:40:00,S0186,swimming,32,Sunday
2025-06-01 19:53:00,S0135,weights,88,Sunday
2025-06-01 08:27:00,S0114,elliptical,46,Sunday
2025-06-01 07:56:00,S0008,treadmill,55,Sunday
2025-06-01 17:28:00,S0039,weights,21,Sunday
2025-06-01 18:54:00,S0006,treadmill,69,Sunday
2025-06-01 18:41:00,S0079,swimming,23,Sunday
2025-06-01 17:36:00,S0060,swimming,26,Sunday
2025-06-01 12:11:00,S0209,elliptical,31,Sunday
2025-06-01 19:11:00,S0258,swimming,82,Sunday
2025-06-01 19:47:00,S0286,yoga,46,Sunday
2025-06-01 17:36:00,S0269,treadmill,88,Sunday
2025-06-01 19:59:00,S0017,weights,38,Sunday
2025-06-01 17:49:00,S0072,swimming,25,Sunday
2025-06-01 12:25:00,S0174,weights,84,Sunday
2025-06-01 19:44:00,S0006,swimming,50,Sunday
2025-06-01 17:38:00,S0091,swimming,45,Sunday
2025-06-01 19:20:00,S0268,treadmill,80,Sunday
2025-06-01 08:38:00,S0168,swimming,22,Sunday
2025-06-01 18:34:00,S0223,yoga,23,Sunday
2025-06-01 19:16:00,S0076,yoga,33,Sunday
2025-06-01 18:09:00,S0278,yoga,59,Sunday
2025-06-01 17:00:00,S0223,treadmill,52,Sunday
2025-06-01 19:29:00,S0223,yoga,64,Sunday
2025-06-01 12:46:00,S0194,treadmill,81,Sunday
2025-06-01 19:02:00,S0174,weights,43,Sunday
2025-06-01 19:57:00,S0283,treadmill,47,Sunday
2025-06-01 12:20:00,S0053,weights,84,Sunday
2025-06-01 19:47:00,S0062,treadmill,20,Sunday
2025-06-01 18:53:00,S0118,yoga,60,Sunday
2025-06-01 09:57:00,S0013,swimming,65,Sunday
2025-06-01 09:02:00,S0086,yoga,62,Sunday
2025-06-01 19:00:00,S0137,yoga,77,Sunday
2025-06-01 12:18:00,S0194,elliptical,42,Sunday
2025-06-01 09:18:00,S0025,yoga,76,Sunday
2025-06-01 12:21:00,S0264,weights,84,Sunday
2025-06-01 19:35:00,S0113,weights,54,Sunday
2025-06-01 06:48:00,S0066,yoga,69,Sunday
2025-06-01 18:57:00,S0172,treadmill,66,Sunday
2025-06-01 20:40:00,S0006,weights,83,Sunday
2025-06-01 18:48:00,S0219,yoga,37,Sunday
2025-06-01 12:13:00,S0124,elliptical,62,Sunday
2025-06-01 17:38:00,S0063,treadmill,26,Sunday
2025-06-01 18:30:00,S0131,swimming,22,Sunday
2025-06-01 19:05:00,S0121,treadmill,86,Sunday
2025-06-01 20:30:00,S0286,swimming,36,Sunday
2025-06-01 17:44:00,S0279,swimming,25,Sunday
2025-06-01 18:23:00,S0246,treadmill,55,Sunday
2025-06-01 17:57:00,S0132,swimming,64,Sunday
2025-06-01 09:02:00,S0234,swimming,56,Sunday
2025-06-01 09:48:00,S0086,weights,41,Sunday
2025-06-01 16:50:00,S0098,elliptical,47,Sunday
2025-06-01 12:40:00,S0069,yoga,74,Sunday
2025-06-01 18:04:00,S0088,elliptical,66,Sunday
2025-06-01 09:34:00,S0119,yoga,29,Sunday
2025-06-01 17:00:00,S0053,treadmill,43,Sunday
